start_date,end_date,updated_date,value,production_type,type,sub_type
2024-11-10 16:00:00+01:00,2024-11-10 16:30:00+01:00,2024-11-09T13:18:00+01:00,3330,AGGREGATED_CPC,D-1,DA02
2024-11-10 16:30:00+01:00,2024-11-10 17:00:00+01:00,2024-11-09T13:18:00+01:00,2702,AGGREGATED_CPC,D-1,DA02
2024-11-10 17:00:00+01:00,2024-11-10 17:30:00+01:00,2024-11-09T13:18:00+01:00,2387,AGGREGATED_CPC,D-1,DA02
2024-11-10 17:30:00+01:00,2024-11-10 18:00:00+01:00,2024-11-09T13:18:00+01:00,2370,AGGREGATED_CPC,D-1,DA02
2024-11-10 18:00:00+01:00,2024-11-10 18:30:00+01:00,2024-11-09T13:18:00+01:00,2445,AGGREGATED_CPC,D-1,DA02
2024-11-10 18:30:00+01:00,2024-11-10 19:00:00+01:00,2024-11-09T13:18:00+01:00,2486,AGGREGATED_CPC,D-1,DA02
2024-11-10 19:00:00+01:00,2024-11-10 19:30:00+01:00,2024-11-09T13:18:00+01:00,2534,AGGREGATED_CPC,D-1,DA02
2024-11-10 19:30:00+01:00,2024-11-10 20:00:00+01:00,2024-11-09T13:18:00+01:00,2554,AGGREGATED_CPC,D-1,DA02
2024-11-10 20:00:00+01:00,2024-11-10 20:30:00+01:00,2024-11-09T13:18:00+01:00,2566,AGGREGATED_CPC,D-1,DA02
2024-11-10 20:30:00+01:00,2024-11-10 21:00:00+01:00,2024-11-09T13:18:00+01:00,2593,AGGREGATED_CPC,D-1,DA02
2024-11-10 21:00:00+01:00,2024-11-10 21:30:00+01:00,2024-11-09T13:18:00+01:00,2620,AGGREGATED_CPC,D-1,DA02
2024-11-10 21:30:00+01:00,2024-11-10 22:00:00+01:00,2024-11-09T13:18:00+01:00,2634,AGGREGATED_CPC,D-1,DA02
2024-11-10 22:00:00+01:00,2024-11-10 22:30:00+01:00,2024-11-09T13:18:00+01:00,2637,AGGREGATED_CPC,D-1,DA02
2024-11-10 22:30:00+01:00,2024-11-10 23:00:00+01:00,2024-11-09T13:18:00+01:00,2626,AGGREGATED_CPC,D-1,DA02
2024-11-10 23:00:00+01:00,2024-11-10 23:30:00+01:00,2024-11-09T13:18:00+01:00,2614,AGGREGATED_CPC,D-1,DA02
2024-11-10 23:30:00+01:00,2024-11-11 00:00:00+01:00,2024-11-09T13:18:00+01:00,2605,AGGREGATED_CPC,D-1,DA02
2024-11-10 00:00:00+01:00,2024-11-10 00:30:00+01:00,2024-11-09T17:56:00+01:00,2092,AGGREGATED_CPC,D-1,ID00
2024-11-10 00:30:00+01:00,2024-11-10 01:00:00+01:00,2024-11-09T17:56:00+01:00,2097,AGGREGATED_CPC,D-1,ID00
